product_category,description
Pharma/OTC,Medicinal product or over-the-counter product
Food Supplement,Food supplement or nutraceutical product
Cosmetic,Cosmetic or personal care product
Medical Device,Medical device or borderline product
Consumer Health,General consumer health product
